id,name,size.bytecode,size.static
140,"std::__2::basic_string<char, std::__2::char_traits<char>, std::__2::allocator<char>>::__recommend[abi:v160000](unsigned long)",259,952
141,"std::__2::basic_string<char, std::__2::char_traits<char>, std::__2::allocator<char>>::__alloc[abi:v160000]()",78,896
142,"std::__2::__allocation_result<std::__2::allocator_traits<std::__2::allocator<char>>::pointer> std::__2::__allocate_at_least[abi:v160000]<std::__2::allocator<char>>(std::__2::allocator<char>&, unsigned long)",113,968
143,"std::__2::basic_string<char, std::__2::char_traits<char>, std::__2::allocator<char>>::__begin_lifetime[abi:v160000](char*, unsigned long)",39,536
144,"void std::__2::__debug_db_invalidate_all[abi:v160000]<std::__2::basic_string<char, std::__2::char_traits<char>, std::__2::allocator<char>>>(std::__2::basic_string<char, std::__2::char_traits<char>, std::__2::allocator<char>>*)",33,536
145,"std::__2::char_traits<char>::copy(char*, char const*, unsigned long)",221,960
146,"std::__2::allocator_traits<std::__2::allocator<char>>::deallocate[abi:v160000](std::__2::allocator<char>&, char*, unsigned long)",106,920
147,"std::__2::basic_string<char, std::__2::char_traits<char>, std::__2::allocator<char>>::__set_long_pointer[abi:v160000](char*)",98,928
148,"std::__2::basic_string<char, std::__2::char_traits<char>, std::__2::allocator<char>>::__set_long_cap[abi:v160000](unsigned long)",206,1040
149,"std::__2::basic_string<char, std::__2::char_traits<char>, std::__2::allocator<char>>::__set_long_size[abi:v160000](unsigned long)",97,944
150,"std::__2::basic_string<char, std::__2::char_traits<char>, std::__2::allocator<char>>::__fits_in_sso[abi:v160000](unsigned long)",72,544
151,"std::__2::basic_string<char, std::__2::char_traits<char>, std::__2::allocator<char>>::__set_short_size[abi:v160000](unsigned long)",166,1032
152,"unsigned long std::__2::allocator_traits<std::__2::allocator<char>>::max_size[abi:v160000]<std::__2::allocator<char>, void, void>(std::__2::allocator<char> const&)",80,888
153,std::__2::numeric_limits<unsigned long>::max[abi:v160000](),16,808
154,std::__2::__throw_length_error[abi:v160000](char const*),46,832
155,std::__2::pointer_traits<char*>::pointer_to[abi:v160000](char&),42,536
156,std::__2::allocator<char>::allocate[abi:v160000](unsigned long),167,1056
157,"std::__2::__compressed_pair<std::__2::basic_string<char, std::__2::char_traits<char>, std::__2::allocator<char>>::__rep, std::__2::allocator<char>>::second[abi:v160000]()",78,896
158,"unsigned long std::__2::basic_string<char, std::__2::char_traits<char>, std::__2::allocator<char>>::__align_it[abi:v160000]<16ul>(unsigned long)",64,544
159,"std::__2::enable_if<__is_cpp17_random_access_iterator<char const*>::value, char*>::type std::__2::copy_n[abi:v160000]<char const*, unsigned long, char*>(char const*, unsigned long, char*)",139,944
160,"std::__2::basic_string<char, std::__2::char_traits<char>, std::__2::allocator<char>>::~basic_string()",161,1168
161,"void std::__2::__debug_db_erase_c[abi:v160000]<std::__2::basic_string<char, std::__2::char_traits<char>, std::__2::allocator<char>>>(std::__2::basic_string<char, std::__2::char_traits<char>, std::__2::allocator<char>>*)",32,536
162,"std::__2::allocator<char>::deallocate[abi:v160000](char*, unsigned long)",115,920
163,"std::__2::basic_string<char, std::__2::char_traits<char>, std::__2::allocator<char>>::__grow_by(unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",913,2280
164,"std::__2::char_traits<char>::assign(char*, unsigned long, char)",124,960
