compilation_strategy;global;local;misses;compilations;evictions;e2e;exec;waiting;gini
predictive.lstm-50;1500;1000;23018;16932;15424;142799750639;86065646734;56734103904;None
jit;1500;1000;16991;6766;5266;151927833149;84130937562;67796895587;None
predictive.lstm-50;1500;500;95306;32880;31374;416117010343;93943870730;322173139613;None
jit;1500;500;17886;6263;4763;184756733982;91396438834;93360295148;None
predictive.lstm-50;1000;2500;23231;23102;22086;105864327776;81343777131;24520550644;None
jit;1000;2500;19864;12153;11153;156086255555;83475058420;72611197135;None
predictive.lstm-50;1000;2000;23247;23246;22195;106220887768;81442710866;24778176901;None
jit;1000;2000;19008;11453;10453;152899927473;83716083675;69183843797;None
predictive.lstm-50;1000;1500;23508;22933;21920;112269740896;82105472913;30164267983;None
jit;1000;1500;19136;11530;10530;153065875076;83734428743;69331446333;None
predictive.lstm-50;1000;1000;37806;30174;29169;162787057621;84487645754;78299411867;None
jit;1000;1000;19881;11580;10580;157070902954;84138342047;72932560907;None
predictive.lstm-50;1000;500;197149;77911;76899;576022047889;94243099570;481778948319;None
jit;1000;500;30222;14993;13993;230478841296;91709358929;138769482367;None
predictive.lstm-50;500;2500;24342;24338;23787;108020943751;81789331051;26231612700;None
jit;500;2500;22154;20187;19687;163410841982;84039287973;79371554008;None
predictive.lstm-50;500;2000;24447;24445;23894;108212937186;81608348635;26604588551;None
jit;500;2000;22192;20390;19890;163444103083;84038524048;79405579035;None
predictive.lstm-50;500;1500;25395;24287;23772;116171974935;82446592048;33725382886;None
jit;500;1500;22249;20505;20005;163797736565;84328705088;79469031476;None
predictive.lstm-50;500;1000;63488;48745;48245;195716834776;85248522633;110468312142;None
jit;500;1000;25471;22424;21924;176821073778;85123131850;91697941928;None
predictive.lstm-50;500;500;364083;159008;158503;808396142385;94998542225;713397600159;None
jit;500;500;85809;38201;37701;505510249829;94689059505;410821190324;None
predictive.lstm-50;2500;2500;3947;2460;0;86962072599;80914269439;6047803159;None
jit;2500;2500;9596;2460;0;126854044589;83325841859;43528202729;None
predictive.lstm-50;2500;2000;3981;2460;0;87005109781;80936483521;6068626259;None
jit;2500;2000;9482;2460;0;126029832873;83464518580;42565314292;None
predictive.lstm-50;2500;1500;4407;2460;0;91875124990;81968182833;9906942156;None
jit;2500;1500;9415;2460;0;125381641899;83452180549;41929461350;None
predictive.lstm-50;2500;1000;6363;2460;0;119965247557;84512002465;35453245092;None
jit;2500;1000;9420;2460;0;128309253882;84002587252;44306666629;None
predictive.lstm-50;2500;500;8891;2460;0;185339105889;93734705162;91604400727;None
jit;2500;500;9728;2460;0;156076610183;91244163186;64832446997;None
predictive.lstm-50;2000;2500;16051;11454;9441;101243694943;81517721151;19725973791;None
jit;2000;2500;14165;4669;2669;140292299563;83573020246;56719279316;None
predictive.lstm-50;2000;2000;16218;11493;9493;101504892642;81630734136;19874158505;None
jit;2000;2000;14133;4670;2670;140567612939;83558592834;57009020104;None
predictive.lstm-50;2000;1500;15383;10909;8909;106601032893;82478230412;24122802480;None
jit;2000;1500;14090;4671;2671;139908106195;83854385995;56053720199;None
predictive.lstm-50;2000;1000;10958;5748;3740;131668141641;84864998295;46803143346;None
jit;2000;1000;13606;4435;2435;142129774351;84146132739;57983641611;None
predictive.lstm-50;2000;500;10333;3116;1112;187072859097;93599648676;93473210420;None
jit;2000;500;11683;3870;1870;160007989704;91423860925;68584128778;None
predictive.lstm-50;1500;2500;16839;11598;10085;101161945810;81431013514;19730932296;None
jit;1500;2500;16459;7121;5621;147734007316;83693910373;64040096943;None
predictive.lstm-50;1500;2000;16805;11644;10137;101564351414;81682469110;19881882304;None
jit;1500;2000;15097;5922;4422;142145754560;83419059920;58726694639;None
predictive.lstm-50;1500;1500;19604;17033;15522;106730017650;81970481421;24759536229;None
jit;1500;1500;16387;6555;5055;148598995241;84254554285;64344440956;None
predictive.lstm-50;1500;1000;23595;16680;15171;146511638535;84482289014;62029349520;None
jit;1500;1000;14791;6860;5360;142119428049;83969620868;58149807181;None
predictive.lstm-50;1500;500;103033;32079;30573;432098045537;93785608105;338312437432;None
jit;1500;500;17872;6298;4798;184099727060;91297933988;92801793071;None
predictive.lstm-50;1000;2500;23166;23054;22018;105853902415;81354473150;24499429265;None
jit;1000;2500;18995;11439;10439;151541186479;83469035630;68072150848;None
predictive.lstm-50;1000;2000;23426;23425;22374;106765778791;81486535136;25279243654;None
predictive.lstm-50;2500;2500;4086;2460;0;87138888352;81191630001;5947258351;None
jit;2500;2500;9420;2460;0;125917832021;83267943165;42649888856;None
predictive.lstm-50;2500;2000;3990;2460;0;87404676679;81219140895;6185535784;None
jit;2500;2000;9622;2460;0;126558536513;83471167861;43087368651;None
predictive.lstm-50;2500;1500;4433;2460;0;91477781243;81567410802;9910370441;None
jit;2500;1500;9317;2460;0;125687053514;83543447543;42143605970;None
predictive.lstm-50;2500;1000;6379;2460;0;120385768785;84656958251;35728810534;None
jit;2500;1000;9192;2460;0;128331109873;84910747485;43420362388;None
predictive.lstm-50;2500;500;9006;2460;0;185973684836;93671105730;92302579105;None
jit;2500;500;9604;2460;0;155179493800;91336518661;63842975138;None
predictive.lstm-50;2400;2500;4002;2460;50;87081055151;81006330372;6074724778;None
jit;2400;2500;9485;2460;60;126143799822;83322994228;42820805594;None
predictive.lstm-50;2400;2000;3992;2460;49;87105724169;80973322117;6132402052;None
jit;2400;2000;9466;2460;60;126349533178;83411785861;42937747317;None
predictive.lstm-50;2400;1500;4419;2460;60;91786990029;81769013605;10017976424;None
jit;2400;1500;9330;2460;60;126589290475;84239428717;42349861757;None
predictive.lstm-50;2400;1000;6331;2460;60;119934884226;84552254058;35382630168;None
jit;2400;1000;9529;2460;60;128485477063;83965959385;44519517678;None
predictive.lstm-50;2400;500;9060;2460;60;185632971901;93545471828;92087500072;None
jit;2400;500;9686;2460;60;155861129215;91202987758;64658141457;None
predictive.lstm-50;2300;2500;7692;4946;2635;91896943004;81212362604;10684580400;None
jit;2300;2500;9497;2460;160;126186477775;83334120269;42852357506;None
predictive.lstm-50;2300;2000;7871;5033;2733;92247597516;81222977161;11024620355;None
jit;2300;2000;9391;2460;160;125806368891;83395814209;42410554682;None
predictive.lstm-50;2300;1500;8372;4811;2511;99180323428;82175532599;17004790828;None
jit;2300;1500;9577;2460;160;126575860543;83303314798;43272545745;None
predictive.lstm-50;2300;1000;6497;2644;344;121747391889;84774581055;36972810834;None
jit;2300;1000;9255;2461;161;127384841971;83845656270;43539185701;None
predictive.lstm-50;2300;500;8978;2460;160;185242562623;93669910707;91572651916;None
jit;2300;500;9681;2462;162;155838863982;91359093170;64479770811;None
predictive.lstm-50;2200;2500;11001;7163;4952;95792378157;81358350502;14434027655;None
jit;2200;2500;10583;3800;1600;128450649324;83453752521;44996896802;None
predictive.lstm-50;2200;2000;11052;7161;4950;96103137541;81450148263;14652989278;None
